year,region,metric,dim_name,dim_value,value
2021,APURIMAC,siniestros_total,,,924.0
2021,AREQUIPA,siniestros_total,,,4601.0
2021,AYACUCHO,siniestros_total,,,486.0
2021,CAJAMARCA,siniestros_total,,,2006.0
2021,CUSCO,siniestros_total,,,2996.0
2021,HUANCAVELICA,siniestros_total,,,242.0
2021,HUÁNUCO,siniestros_total,,,1199.0
2021,ICA,siniestros_total,,,1650.0
2021,JUNIN,siniestros_total,,,3336.0
2021,LA LIBERTAD,siniestros_total,,,4367.0
2021,LAMBAYEQUE,siniestros_total,,,2542.0
2021,LIMA,siniestros_total,,,35848.0
2021,CALLAO,siniestros_total,,,2773.0
2021,LORETO,siniestros_total,,,174.0
2021,MADRE DE DIOS,siniestros_total,,,633.0
2021,MOQUEGUA,siniestros_total,,,495.0
2021,PASCO,siniestros_total,,,298.0
2021,PIURA,siniestros_total,,,3467.0
2021,PUNO,siniestros_total,,,1266.0
2021,SAN MARTÍN,siniestros_total,,,1092.0
2021,TACNA,siniestros_total,,,780.0
2021,TUMBES,siniestros_total,,,376.0
2021,UCAYALI,siniestros_total,,,504.0
2021,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,74624.0
2022,AMAZONAS,siniestros_total,,,514.0
2022,ANCASH,siniestros_total,,,2453.0
2022,APURIMAC,siniestros_total,,,860.0
2022,AREQUIPA,siniestros_total,,,5017.0
2022,AYACUCHO,siniestros_total,,,454.0
2022,CAJAMARCA,siniestros_total,,,2108.0
2022,CUSCO,siniestros_total,,,3365.0
2022,HUANCAVELICA,siniestros_total,,,200.0
2022,HUÁNUCO,siniestros_total,,,1260.0
2022,ICA,siniestros_total,,,2154.0
2022,JUNIN,siniestros_total,,,3664.0
2022,LA LIBERTAD,siniestros_total,,,4450.0
2022,LAMBAYEQUE,siniestros_total,,,3137.0
2022,LIMA,siniestros_total,,,41111.0
2022,CALLAO,siniestros_total,,,2723.0
2022,LORETO,siniestros_total,,,166.0
2022,MADRE DE DIOS,siniestros_total,,,742.0
2022,MOQUEGUA,siniestros_total,,,657.0
2022,PASCO,siniestros_total,,,327.0
2022,PIURA,siniestros_total,,,3947.0
2022,PUNO,siniestros_total,,,1484.0
2022,SAN MARTÍN,siniestros_total,,,1279.0
2022,TACNA,siniestros_total,,,947.0
2022,TUMBES,siniestros_total,,,366.0
2022,UCAYALI,siniestros_total,,,512.0
2022,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,83897.0
2023,AMAZONAS,siniestros_total,,,514.0
2023,ANCASH,siniestros_total,,,2557.0
2023,APURIMAC,siniestros_total,,,720.0
2023,AREQUIPA,siniestros_total,,,5194.0
2023,AYACUCHO,siniestros_total,,,415.0
2023,CAJAMARCA,siniestros_total,,,2092.0
2023,CUSCO,siniestros_total,,,3234.0
2023,HUANCAVELICA,siniestros_total,,,220.0
2023,HUÁNUCO,siniestros_total,,,1290.0
2023,ICA,siniestros_total,,,2154.0
2023,JUNIN,siniestros_total,,,3804.0
2023,LA LIBERTAD,siniestros_total,,,4150.0
2023,LAMBAYEQUE,siniestros_total,,,2968.0
2023,LIMA,siniestros_total,,,44995.0
2023,CALLAO,siniestros_total,,,3045.0
2023,LORETO,siniestros_total,,,232.0
2023,MADRE DE DIOS,siniestros_total,,,462.0
2023,MOQUEGUA,siniestros_total,,,754.0
2023,PASCO,siniestros_total,,,304.0
2023,PIURA,siniestros_total,,,3367.0
2023,PUNO,siniestros_total,,,1196.0
2023,SAN MARTÍN,siniestros_total,,,1510.0
2023,TACNA,siniestros_total,,,1037.0
2023,TUMBES,siniestros_total,,,303.0
2023,UCAYALI,siniestros_total,,,566.0
2023,TOTAL SINIESTROS DE TRÁNSITO,siniestros_total,,,87083.0
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,59
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,11
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,61
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,21
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,9
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,3
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,7
2008,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,100
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,47
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,7
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,64
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,23
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,29
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,2
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,7
2009,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,41
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,4
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,1
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,43
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,1
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,20
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,1
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,0
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,0
2010,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,25
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,38
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,8
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,116
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,8
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,30
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,6
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,0
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,16
2011,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,17
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,61
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,42
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,191
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE Y FUGA,57
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,VOLCADURA,38
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,CAIDA DE PASAJERO,5
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,INCENDIO,1
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,OTRO,15
2012,AMAZONAS,siniestros_por_tipo,tipo_accidente,DESPISTE,77
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO,84
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,ATROPELLO Y FUGA,21
2013,AMAZONAS,siniestros_por_tipo,tipo_accidente,CHOQUE,233
